,City,Cloudiness,Country,Date,Humidity,Temperature,Latitude,Longitude,Wind Speed
374,Taksimo,44,RU,1569077761,95,40.22,56.36,114.84,1.99
375,Ayan,0,IR,1569077413,18,60.92,38.23,44.7,20.42
376,Heyang,0,CN,1569077762,91,56.24,26.1,107.47,4.74
377,Madingou,100,CG,1569077762,32,95.3,-4.17,13.56,4.41
378,El Calvario,75,CO,1569077762,78,77.0,4.35,-73.71,5.14
379,Creel,85,MX,1569077762,77,63.08,27.75,-107.63,1.77
380,Ulaanbaatar,0,MN,1569077439,65,44.6,47.92,106.92,2.24
381,Alegrete,0,BR,1569077763,48,61.82,-29.79,-55.79,6.67
382,Udachnyy,40,RU,1569077393,84,41.0,66.42,112.4,11.18
383,Kargasok,21,RU,1569077763,84,37.16,59.06,80.87,2.51
384,Auki,1,NG,1569077763,43,91.52,12.18,6.51,6.11
385,Sorland,100,NO,1569077763,64,45.62,67.67,12.69,13.44
386,Omsukchan,67,RU,1569077764,79,27.26,62.53,155.8,1.79
387,Agirish,81,RU,1569077764,68,36.44,61.92,63.02,6.64
388,Abapo,58,BO,1569077764,29,80.18,-18.83,-63.47,3.8
389,Moose Factory,1,CA,1569077764,77,62.6,51.26,-80.61,10.29
390,Lock Haven,1,US,1569077764,82,75.99,41.14,-77.45,1.3
391,Sikonge,40,TZ,1569077765,24,89.6,-5.63,32.75,3.36
392,Matagami,100,NG,1569077580,75,79.82,9.67,8.4,0.85
393,Caravelas,59,BR,1569077484,66,79.46,-17.73,-39.27,14.43
394,Srednekolymsk,0,RU,1569077423,80,25.82,67.46,153.71,5.41
395,Nyandoma,100,RU,1569077765,82,38.06,61.67,40.21,2.89
396,Antofagasta,40,CL,1569077486,63,60.8,-23.65,-70.4,8.05
397,Urubicha,2,BO,1569077765,26,88.28,-15.63,-63.08,6.76
398,Paragominas,24,BR,1569077766,40,94.58,-3.0,-47.35,6.38
399,Arlit,0,NE,1569077766,6,102.14,18.74,7.39,4.25
400,Kijang,90,KR,1569077766,82,66.2,35.24,129.21,11.41
401,Port-Gentil,75,GA,1569077766,70,84.2,-0.72,8.78,14.99
402,Nagato,75,JP,1569077766,94,71.6,34.35,131.14,5.82
403,Half Moon Bay,1,US,1569077767,72,66.0,37.46,-122.43,3.36
404,La Fleche,0,FR,1569077767,42,87.01,47.7,-0.08,10.29
405,Alta Floresta,17,BR,1569077767,16,108.98,-9.87,-56.08,2.13
406,Pacific Grove,1,US,1569077422,71,62.01,36.62,-121.92,10.71
407,Margate,40,AU,1569077767,82,50.0,-43.03,147.26,16.11
408,Fernley,1,US,1569077657,80,45.0,39.61,-119.25,3.02
409,Marawi,95,PH,1569077482,78,79.0,8.0,124.29,5.01
410,Klaksvik,0,FO,1569077471,82,57.2,62.23,-6.59,12.75
411,Nanortalik,100,GL,1569077431,92,40.22,60.14,-45.24,3.78
412,Faya,40,SA,1569077436,9,84.2,18.39,42.45,13.87
413,Meulaboh,100,ID,1569077482,75,82.88,4.14,96.13,9.22
414,Okhotsk,100,RU,1569077518,74,41.3,59.36,143.24,4.25
415,Watertown,40,US,1569077507,88,75.2,44.9,-97.12,8.05
416,Geraldton,90,CA,1569077441,93,64.4,49.72,-86.95,12.75
417,Port Hedland,0,AU,1569077414,72,62.6,-20.31,118.58,6.93
418,Sangar,78,RU,1569077769,86,33.74,63.92,127.47,14.63
419,Sur,0,OM,1569077769,50,85.22,22.57,59.53,9.6
420,Narrabri,82,AU,1569077438,30,71.6,-30.33,149.78,16.11
421,Prince George,1,CA,1569077600,87,52.0,53.92,-122.75,6.93
422,Sibolga,79,ID,1569077769,80,81.8,1.74,98.78,10.94
423,Kamina,100,CD,1569077769,46,77.12,-8.74,25.0,2.98
424,Acapulco,90,MX,1569077770,88,78.8,16.86,-99.88,5.82
425,Guarapari,20,BR,1569077770,55,86.0,-20.67,-40.5,13.87
426,Mount Pleasant,90,US,1569077770,83,80.01,33.16,-94.97,5.82
427,Sola,100,TZ,1569077770,23,86.48,-3.17,33.8,4.9
428,Bambanglipuro,100,ID,1569077458,86,75.32,-7.95,110.28,12.33
429,Fortuna,0,ES,1569077415,69,84.0,38.18,-1.13,9.17
430,Vanimo,88,PG,1569077771,76,78.92,-2.67,141.3,7.16
431,Tadepallegudem,40,IN,1569077771,79,86.0,16.82,81.53,3.36
432,Halifax,20,CA,1569077492,68,71.01,44.65,-63.58,14.99
433,Mitsamiouli,36,KM,1569077771,72,77.66,-11.38,43.28,1.45
434,Chapais,1,CA,1569077455,62,55.4,49.78,-74.86,6.93
435,Verkhnevilyuysk,100,RU,1569077771,98,49.04,63.45,120.31,5.53
436,Wattegama,100,LK,1569077772,91,74.6,7.35,80.68,2.95
437,Valleyview,34,CA,1569077772,71,49.58,55.07,-117.28,6.38
438,Flin Flon,20,CA,1569077457,100,51.8,54.77,-101.88,9.17
439,Roald,0,NO,1569077450,67,68.0,62.58,6.12,4.7
440,Praya,40,ID,1569077772,78,77.0,-8.71,116.27,8.05
441,Pierre,1,US,1569077622,87,60.8,44.37,-100.35,12.75
442,Maniitsoq,100,GL,1569077772,92,38.96,65.42,-52.9,24.14
443,Sao Gotardo,0,BR,1569077773,34,90.0,-19.31,-46.05,5.68
444,Rome,0,IT,1569077731,57,81.0,41.89,12.48,5.82
445,San Jeronimo,90,PE,1569077773,93,44.6,-13.65,-73.37,6.93
446,Raudeberg,0,NO,1569077774,67,68.0,61.99,5.14,8.05
447,Tromso,75,NO,1569077774,86,39.2,69.65,18.96,3.36
448,Hecun,55,CN,1569077774,90,59.84,29.94,119.31,6.2
449,Kiruna,63,SE,1569077774,56,41.0,67.86,20.23,13.87
450,Cardston,1,CA,1569077759,93,45.0,49.2,-113.32,9.17
451,Taltal,43,CL,1569077454,75,56.6,-25.41,-70.49,6.67
452,Sayville,40,US,1569077775,53,77.0,40.74,-73.08,5.82
453,Ketchikan,90,US,1569077444,93,57.2,55.34,-131.65,17.22
454,Goya,0,AR,1569077775,29,69.38,-29.14,-59.27,8.88
455,Olenino,100,RU,1569077775,96,39.86,56.21,33.48,8.1
456,Stephenville Crossing,75,CA,1569077775,67,57.2,48.5,-58.44,6.93
457,East Chicago,1,US,1569077776,83,78.01,41.64,-87.45,12.75
458,Los Llanos de Aridane,20,ES,1569077464,65,78.8,28.66,-17.92,4.7
459,Santa Cruz de Tenerife,20,ES,1569077776,60,77.0,28.47,-16.25,9.17
460,Sitka,0,US,1569077417,75,75.0,37.17,-99.65,15.01
461,Kahului,75,US,1569077279,78,77.0,20.89,-156.47,11.41
462,Yumen,0,CN,1569077776,18,68.3,40.29,97.04,8.84
463,Acaponeta,41,MX,1569077776,64,84.5,22.49,-105.36,1.41
464,Tumbi,65,NG,1569077777,65,86.48,7.5,4.3,3.11
465,Panguna,88,PG,1569077777,78,79.64,-6.32,155.48,7.74
466,Saint-Joseph,90,FR,1569077777,56,73.4,43.56,6.97,4.7
467,Chumphon,100,TH,1569077777,95,75.32,10.5,99.18,2.71
468,Yamada,75,JP,1569077777,82,68.0,36.58,137.08,9.17
469,Basoko,56,CD,1569077778,54,87.74,1.23,23.61,2.57
470,Touros,75,BR,1569077477,83,78.8,-5.2,-35.46,12.75
471,Severo-Kurilsk,100,RU,1569077404,83,48.5,50.68,156.12,18.1
472,Knyaze-Volkonskoye,20,RU,1569077778,87,50.0,48.46,135.46,11.18
473,Otjimbingwe,0,NA,1569077778,17,87.56,-22.35,16.13,21.3
474,Carthage,75,US,1569077779,83,81.0,32.16,-94.34,5.82
475,Chlumec nad Cidlinou,0,CZ,1569077779,37,69.8,50.15,15.46,8.05
476,Alagoa Nova,75,BR,1569077779,73,77.0,-7.06,-35.76,12.75
477,Sao Joao da Barra,0,BR,1569077490,65,82.4,-21.64,-41.05,16.11
478,Bowen,90,AU,1569077418,88,64.4,-20.01,148.25,2.24
479,Iquique,90,CL,1569077780,67,59.0,-20.22,-70.14,4.7
480,Kindersley,20,CA,1569077780,93,48.0,51.47,-109.16,5.82
481,Zion,40,US,1569077780,78,77.0,42.45,-87.83,5.82
482,Qandala,0,SO,1569077780,74,84.5,11.47,49.87,4.92
483,Ust-Ishim,100,RU,1569077780,82,41.84,57.69,71.17,4.74
484,Aykhal,40,RU,1569077781,88,41.0,65.95,111.51,11.18
485,Tilichiki,0,RU,1569077495,64,30.86,60.47,166.1,3.6
486,Cukai,99,MY,1569077781,94,78.8,4.25,103.42,2.24
487,Catanzaro,20,IT,1569077781,54,80.6,38.91,16.6,8.05
488,Aksarka,0,RU,1569077479,71,35.54,66.56,67.8,10.33
489,Minab,0,IR,1569077781,52,93.2,27.15,57.07,4.7
490,Rio Gallegos,40,AR,1569077424,56,44.6,-51.62,-69.22,34.45
491,Tual,35,ID,1569077489,87,76.94,-5.67,132.75,15.05
492,Les Cayes,100,HT,1569077782,77,83.24,18.19,-73.75,14.5
493,Crotone,0,IT,1569077564,53,73.4,39.09,17.12,14.99
494,Arkhara,50,RU,1569077782,87,41.3,49.42,130.09,2.04
495,Werda,0,BW,1569077783,6,91.88,-25.27,23.28,8.72
496,Stokmarknes,0,NO,1569077783,84,43.0,68.56,14.91,14.0
497,Oussouye,20,SN,1569077783,66,87.8,12.49,-16.54,4.7
498,Olinda,0,AU,1569077783,87,52.0,-37.84,145.39,8.05
499,Makakilo City,20,US,1569077409,88,79.0,21.35,-158.09,20.45
500,Buala,17,SB,1569077481,80,79.46,-8.15,159.59,8.46
501,Rincon,75,PA,1569077784,100,75.2,8.46,-82.28,1.12
502,Ponta Delgada,20,PT,1569077784,64,73.4,37.73,-25.67,17.22
503,Kachug,18,RU,1569077784,81,52.46,53.96,105.89,8.59
504,Erdenet,0,MN,1569077784,63,52.46,49.03,104.04,1.99
505,Karachi,20,PK,1569077753,46,93.2,24.87,67.03,5.82
506,Tiarei,0,PF,1569077785,78,77.0,-17.53,-149.33,2.24
507,Aklavik,75,CA,1569077426,93,42.8,68.22,-135.01,5.82
508,Port Augusta,0,AU,1569077785,93,46.4,-32.49,137.76,8.05
509,Sarangani,36,PH,1569077785,71,82.16,5.4,125.46,4.61
510,Chimore,100,BO,1569077785,92,66.32,-16.98,-65.13,0.63
511,Bereda,75,ES,1569077786,73,73.99,43.27,-7.54,11.41
512,Ribas do Rio Pardo,61,BR,1569077786,45,88.46,-20.45,-53.76,6.13
513,Puerto Escondido,75,MX,1569077786,61,78.8,15.86,-97.07,0.74
514,Poya,47,NC,1569077786,75,70.28,-21.35,165.16,13.62
515,Urucui,0,BR,1569077780,17,96.92,-7.23,-44.56,9.22
516,Chilca,75,PE,1569077787,50,57.2,-13.22,-72.34,2.24
517,Padang,100,ID,1569077469,86,79.82,-0.92,100.36,19.71
518,Santa Maria,0,BR,1569077468,21,93.2,-16.02,-48.01,9.17
519,Newport,1,US,1569077787,50,78.01,41.49,-71.31,5.82
520,Trairi,14,BR,1569077437,32,95.12,-3.28,-39.27,10.2
521,Beloha,0,MG,1569077787,42,79.82,-25.17,45.06,14.47
522,Sarkand,0,KZ,1569077788,25,70.64,45.41,79.91,3.83
523,Abu Kamal,0,SY,1569077788,12,89.0,34.45,40.92,10.58
524,Sung Noen,75,TH,1569077788,100,77.0,14.9,101.82,2.24
525,Inverell,40,AU,1569077788,59,57.99,-29.78,151.11,4.0
526,Khash,0,IR,1569077788,14,65.24,28.22,61.21,2.48
527,Abonnema,70,NG,1569077789,68,84.86,4.71,6.79,11.81
528,Phitsanulok,20,TH,1569077744,88,80.6,16.82,100.26,2.24
529,Lar,0,IR,1569077789,12,100.4,27.66,54.32,9.17
530,Cedar City,1,US,1569077789,41,42.01,37.68,-113.06,3.36
531,Lubango,30,AO,1569077789,36,83.78,-14.92,13.49,10.04
532,Matiri,86,UG,1569077790,59,76.04,0.58,30.76,2.73
533,Mazyr,100,BY,1569077790,92,46.52,52.05,29.27,13.13
534,Samarai,100,PG,1569077433,95,73.52,-10.62,150.67,5.28
535,Sobolevo,100,RU,1569077435,95,42.92,54.43,31.9,14.45
536,Tabuk,100,PH,1569077790,91,56.78,17.41,121.44,1.95
537,Biankouma,98,CI,1569077790,74,82.34,7.74,-7.61,4.5
538,Trat,100,TH,1569077791,87,74.96,12.25,102.51,0.67
539,Abalak,0,NE,1569077791,12,100.52,15.46,6.28,5.77
540,Poum,20,MK,1569077791,37,66.2,41.28,20.71,2.24
541,Ust-Kuyga,0,RU,1569077791,88,31.4,70.0,135.55,5.91
542,Camargo,27,MX,1569077791,79,70.1,27.69,-105.17,2.55
543,Yatou,56,CM,1569077792,86,79.46,3.63,9.81,13.91
544,Rubizhne,45,UA,1569077792,59,52.46,49.02,38.37,8.57
545,Siocon,100,PH,1569077792,87,78.56,11.03,124.04,2.68
546,Cayenne,75,GF,1569077457,66,87.8,4.94,-52.33,12.75
547,Kamenka,25,MD,1569077792,54,57.0,48.03,28.7,5.99
548,Beyneu,0,KZ,1569077405,31,71.18,45.32,55.19,25.48
549,Port Hardy,75,CA,1569077470,93,53.6,50.7,-127.42,4.7
550,Saint Anthony,75,US,1569077410,87,45.0,43.97,-111.68,11.41
551,Chernyshevskiy,0,RU,1569077445,90,41.66,63.01,112.47,8.12
552,Ternate,40,PH,1569077793,88,81.0,14.29,120.72,4.7
553,Leshan,67,CN,1569077793,66,65.06,29.56,103.76,3.18
554,Phanom Sarakham,75,TH,1569077794,94,86.0,13.75,101.35,2.17
